ACCESSION,NAME
MIMAT0004552,hsa-miR-139-3p
MIMAT0004553,hsa-miR-7-1-3p
MIMAT0004555,hsa-miR-10a-3p
MIMAT0004556,hsa-miR-10b-3p
MIMAT0004557,hsa-miR-34a-3p
MIMAT0004558,hsa-miR-181a-2-3p
MIMAT0022692,hsa-miR-181b-3p
MIMAT0004559,hsa-miR-181c-3p
MIMAT0004560,hsa-miR-183-3p
MIMAT0004563,hsa-miR-199b-3p
MIMAT0000270,hsa-miR-181a-3p
MIMAT0000271,hsa-miR-214-3p
MIMAT0004565,hsa-miR-218-1-3p
MIMAT0004567,hsa-miR-219a-1-3p
MIMAT0000278,hsa-miR-221-3p
MIMAT0000279,hsa-miR-222-3p
MIMAT0000418,hsa-miR-23b-3p
MIMAT0000419,hsa-miR-27b-3p
MIMAT0000424,hsa-miR-128-3p
MIMAT0000425,hsa-miR-130a-3p
MIMAT0000426,hsa-miR-132-3p
MIMAT0000427,hsa-miR-133a-3p
MIMAT0000432,hsa-miR-141-3p
MIMAT0000434,hsa-miR-142-3p
MIMAT0000435,hsa-miR-143-3p
MIMAT0000436,hsa-miR-144-3p
MIMAT0000438,hsa-miR-152-3p
MIMAT0026481,hsa-miR-134-3p
MIMAT0000681,hsa-miR-29c-3p
MIMAT0000682,hsa-miR-200a-3p
MIMAT0000688,hsa-miR-301a-3p
MIMAT0004678,hsa-miR-99b-3p
MIMAT0000691,hsa-miR-130b-3p
MIMAT0000693,hsa-miR-30e-3p
MIMAT0022697,hsa-miR-382-3p
MIMAT0022698,hsa-miR-345-3p
MIMAT0004749,hsa-miR-424-3p
MIMAT0004752,hsa-miR-20b-3p
MIMAT0004757,hsa-miR-431-3p
MIMAT0001636,hsa-miR-452-3p
MIMAT0001639,hsa-miR-409-3p
MIMAT0004766,hsa-miR-146b-3p
MIMAT0002816,hsa-miR-494-3p
MIMAT0002817,hsa-miR-495-3p
MIMAT0002819,hsa-miR-193b-3p
MIMAT0004768,hsa-miR-497-3p
MIMAT0002871,hsa-miR-500a-3p
MIMAT0004774,hsa-miR-501-3p
MIMAT0004775,hsa-miR-502-3p
MIMAT0022925,hsa-miR-503-3p
MIMAT0002876,hsa-miR-505-3p
MIMAT0004780,hsa-miR-532-3p
MIMAT0004784,hsa-miR-455-3p
MIMAT0003218,hsa-miR-92b-3p
MIMAT0003233,hsa-miR-551b-3p
MIMAT0003239,hsa-miR-574-3p
MIMAT0004797,hsa-miR-582-3p
MIMAT0003322,hsa-miR-652-3p
MIMAT0003331,hsa-miR-655-3p
MIMAT0006790,hsa-miR-675-3p
MIMAT0004951,hsa-miR-887-3p
MIMAT0004956,hsa-miR-374b-3p
MIMAT0004980,hsa-miR-937-3p
MIMAT0005825,hsa-miR-1180-3p
MIMAT0005577,hsa-miR-1226-3p
MIMAT0005583,hsa-miR-1228-3p
MIMAT0005901,hsa-miR-1249-3p
MIMAT0015085,hsa-miR-3200-3p
MIMAT0018186,hsa-miR-3912-3p
MIMAT0018194,hsa-miR-3150b-3p
MIMAT0018205,hsa-miR-3928-3p
